frequency,value calibrated mic,value uncalibrated mic,gain factor
21,-0.05288914009311345,-0.09367393438780361,0.5646089324502594
22,0.05214084027037286,0.051744349172496464,1.0076625004317794
23,0.09010098097898143,0.06430183988643466,1.4012193296196715
25,0.07305455776509286,0.08536835028095818,0.8557569347968064
26,0.04358822591430086,0.04998052661852028,0.8721041746316703
28,-0.08705387599811165,-0.0880611696019629,0.988561432826702
29,-0.15972277485734743,-0.1713975093613046,0.9318850399433347
31,-0.03705273891112909,-0.058455484046646966,0.6338624940914239
33,-0.260170016617381,-0.2667035956877364,0.9755024709977848
35,-0.30316186364608105,-0.29790140131363985,1.0176584007636231
37,-0.2957626991191259,-0.2997213282558322,0.9867923008357705
39,-0.276687047893784,-0.27636809766227766,1.0011540776023147
42,-0.2348831197582144,-0.2429294333811963,0.9668779797038596
44,-0.07792182975309264,-0.07455788434034533,1.0451185738773303
47,0.14407021880979443,0.1362975307884682,1.057027357549047
50,0.4880094446112016,0.5063491905859573,0.9637804378564672
53,0.6467756976236977,0.653508716882492,0.9896971240247359
56,0.4929828704000938,0.5063394405689512,0.9736213119131126
59,0.22427345627228024,0.24152591759238393,0.9285689026996259
62,-0.0332873564080097,-0.05425664990192748,0.6135166190352487
66,-0.45244232920507116,-0.4898120040140888,0.9237060862070201
70,-0.7743630984294753,-0.782734310864115,0.9893051673876436
74,-0.45215686198402144,-0.4641409791094668,0.9741800063669471
79,-0.014006286012455604,-0.02153526909133222,0.65038825161897
83,0.7386087662907538,0.7293864358423501,1.0126439566123175
88,0.8747905412636744,0.9098625030912713,0.9614535584130137
94,0.41264025628860257,0.40209661988426654,1.0262216489344547
99,-0.5938767126203803,-0.5887871392025057,1.0086441654020641
105,-1.0953223259195064,-1.130217287949671,0.9691254395042321
111,-0.3415301836806256,-0.31566883616018526,1.081925564255944
118,0.8886153651317233,0.9065627780944396,0.9802027908089928
125,0.8986066592275181,0.8986378774733706,0.9999652604829653
132,-0.640929625195161,-0.6657886814445847,0.9626622426270658
140,-1.0824500656689322,-1.0815572765817683,1.0008254663035374
149,0.42476473316593455,0.4735937259697489,0.8968968756842582
157,0.8272635155274222,0.8422268978205465,0.9822335497336342
167,-0.7736820165435968,-0.7918763682631491,0.9770237470787787
177,-0.4955311633918442,-0.45322937662219387,1.093334167976743
187,1.0445787378619125,1.0544758172486062,0.9906142187191
198,-0.6396579188271676,-0.659424412972946,0.9700246248744975
210,-0.30492490412820844,-0.3048383582399768,1.0002839074738865
223,0.7501013064116974,0.767000597732629,0.977967042827752
236,-0.7932766742141546,-0.8043157065007308,0.9862752496347451
250,0.734175397799418,0.766229873555614,0.9581659801288477
265,-0.6065280323504746,-0.5984411970228325,1.0135131661521182
281,0.6158036229880324,0.5998894007839405,1.0265285937429383
297,-0.6348618563018631,-0.6452878640707489,0.9838428578167979
315,0.683093049802444,0.6823338067070943,1.0011127150492714
334,-0.4724815894717385,-0.49322021938105265,0.9579525958296291
354,0.1957961170152242,0.1919087371538323,1.0202563985311195
375,0.2353616954302218,0.28431021915175253,0.8278341036506883
397,-0.3607260565897791,-0.355340637327142,1.0151556526243268
420,-0.03689347238506226,-0.04131429656372424,0.8929952934853149
445,0.24534378865748666,0.23290110508855677,1.0534247510942412
472,0.08658301130711595,0.0745575960142417,1.1612902767221358
500,-0.04810116243428096,-0.031518564745166525,1.526121599228513
530,-0.0004361376168214367,0.012235903358898109,-0.03564408806026338
561,0.018095613737020785,0.016073914072390304,1.1257751942386638
595,0.06343709847335939,0.025382623908249375,2.49923328268447
630,-0.03344827671549509,-0.0035497138427634293,9.422809329739048
667,-0.16139946555533793,-0.14754138394897265,1.093926742690431
707,-0.03275561400791214,-0.056329814634909194,0.5814969252111217
749,0.1300948507975752,0.12037401986206868,1.0807552239814306
794,-0.0571125625392065,-0.07426249196436288,0.7690633727536871
841,0.042437804180669475,0.09747602855555663,0.43536656970469384
891,-0.17386442353278195,-0.14339701771416627,1.2124688944322848
944,0.056955380120997295,0.08183791340840169,0.6959534737496142
1000,0.3433441765258416,0.3725582837121352,0.9215851359008662
1059,0.12969977882607245,0.11976696636343237,1.0829344915734027
1122,-0.12007341722463509,-0.055655629615980466,2.157435250542171
1189,0.16315829879063798,0.26171159997433147,0.6234278450272761
1260,0.9167100176001345,1.0259215203591154,0.8935478975811402
1335,0.3976125189407703,0.3040026765017199,1.3079244022330863
1414,0.1778412014035459,0.2145473440193653,0.828913553865732
1498,-0.6116957002700525,-0.643845043093528,0.9500666454322529
1587,0.2232683000803795,0.2537944972033218,0.879720807742782
1682,-0.16806551527594052,-0.18749260554758568,0.8963847656023184
1782,0.01497312261780286,0.03934942643136779,0.3805169217375653
1888,0.10081478112108266,0.06594694052128801,1.528725674370582
2000,-0.32998895353675994,-0.35951708915490554,0.9178672265967786
2119,0.3044550821355851,0.2747595994105956,1.1080780536465011
2245,0.7380796396266799,0.7459129146619308,0.9894984054019212
2378,0.6764812153873053,0.6402972996243222,1.0565111172329058
2520,-0.13661688883611076,-0.2426062245684965,0.5631219441261238
2670,0.034820307300832874,0.05618781621087158,0.6197127713622659
2828,-0.1368922856028866,-0.15761179651999477,0.8685408619495072
2997,-0.5750983540093129,-0.6494885369138745,0.8854634398044408
3175,0.8098220156090613,0.9294689784682151,0.8712738503050048
3364,-0.24922750442859487,-0.32463137292432726,0.7677246415943006
3564,0.3169229185661406,0.22467618199676057,1.4105763937661628
3775,-0.3740958602232729,-0.4114424761631189,0.9092300428285395
4000,0.21514421283239574,0.24401523051374174,0.8816835423733105
4238,0.017007270880414992,0.1247604932172619,0.13631936233850878
4490,0.09816470025822405,0.08822145066886658,1.1127078450192212
4757,0.21096335704376462,0.17387567989315264,1.2132999691124287
5040,-0.06403612030678973,-0.027513381202213385,2.3274536792169402
5339,0.20511590326101048,0.259988860316262,0.7889411223676983
5657,-0.5860715081273341,-0.351861926005779,1.6656292278628306
5993,0.6460130391995654,0.39489317589580775,1.63591846765672
6350,-0.5194572223890264,-0.4651584732187658,1.116731721115448
6727,0.03239414911679597,-0.000998822451971985,-32.43233975451782
7127,-0.10503532629751221,-0.05042802747966255,2.082875962972626
7551,0.18061664217656045,0.31808448359057073,0.5678260069077907
8000,-0.05246337382365405,-0.10317389993098246,0.5084946276020302
8476,0.28959457876764244,0.13980671072529796,2.07139254807774
8980,-0.02877556130329647,0.11797212762568941,-0.24391830411499973
9514,-0.03600368788065673,-0.020004963929034236,1.799737705520314
10079,-0.026607122032486552,0.03499981086526583,-0.7602075946899396
10679,0.10528896354890138,0.010281213443598362,10.240908247504576
11314,0.060565625665362624,0.005264228490694934,11.505128581029226
11986,-0.2131282979064362,-0.1648005329843724,1.2932500523323343
12699,0.058032874091346776,0.056350605153840994,1.0298536090768338
13454,0.026681967569804458,-0.06460821683815304,-0.4129810243276668
14254,-0.06523695924732985,-0.01795454273812666,3.6334514445081614
15102,0.005516431602899406,0.01841395974004414,0.29957878048918674
16000,0.06457564188445351,-0.034395242021059355,-1.8774585695578316
16951,0.04537553307446819,0.005787847554083748,7.839794094516612
17959,-0.03964998611725551,-0.015531969709887058,2.5527983158514562
19027,-0.016217156025011517,-0.013305526266159004,1.2188286055439903
20000,-0.012300706860213315,0.004018846111370178,-3.0607558785124853
