frequency (Hz),value calibrated mic (dB),value uncalibrated mic (dB),absolute variation (%)gain factor
21,-0.011539490163345049,-0.009319465888973106,-23.8213681000614,1.238213681000614
22,-0.0032298414648530794,-0.00438824992671904,-26.397960034424642,0.7360203996557536
23,0.017811524252952154,0.0014093672496759944,1163.7958102862774,12.637958102862772
25,0.02125424200272673,0.0021972998662241326,867.2890955593732,9.672890955593733
26,0.018970442038857883,0.018712972370888186,1.3758886769385863,1.0137588867693859
28,0.03670542455151603,0.027239950682621205,34.748498553390164,1.3474849855339017
29,0.008844730132526702,0.016747495507036678,47.18774440745201,0.52812255592548
31,0.05345768405968363,0.05325663262053366,0.3775143662997133,1.0037751436629971
33,0.02491057995784664,0.015002695383511094,66.0406968285508,1.660406968285508
35,0.027981720208878635,0.028484359405737413,1.7646147125834089,0.9823538528741659
37,0.022577853555497598,0.01989613237369292,13.478605446707343,1.1347860544670734
39,-0.004512621314549451,-0.03231921784507649,-86.03734367526812,0.13962656324731895
42,-0.036291118708803714,-0.02828908684217138,-28.286638982999868,1.2828663898299986
44,-0.04415114029445409,-0.04506229612245437,-2.0219915681266203,0.9797800843187338
47,-0.10484164638054688,-0.1024618862700138,-2.3225808124025638,1.0232258081240255
50,-0.03625379665697876,-0.032437524808166904,-11.764990921412789,1.1176499092141279
53,0.1036663713163408,0.10318806874432264,0.46352507401149606,1.004635250740115
56,0.03424981556810036,0.037574228713091615,8.847588517054406,0.911524114829456
59,0.059315857066873624,0.07067562416279234,16.073104737996985,0.8392689526200301
62,0.15644055641606847,0.15593251543495945,0.325808238064961,1.0032580823806496
66,0.1091617395296261,0.1253097989920982,12.886509748124626,0.8711349025187538
70,0.04931412040810326,0.053003857969077466,6.961262259677026,0.9303873774032297
74,-0.01575202759833317,-0.029258576332702315,-46.16269971848519,0.5383730028151481
79,-0.19379605217084012,-0.19359279810987906,-0.10499050736675287,1.0010499050736674
83,-0.17740948420809977,-0.19017605722552716,-6.713028550322553,0.9328697144967745
88,-0.06995634897089495,-0.0710267656199087,-1.5070609504337529,0.9849293904956624
94,0.18014540977127566,0.17442924848998168,3.277065819395703,1.032770658193957
99,0.2527807123381883,0.25064694485670436,0.8513040056019029,1.0085130400560192
105,0.0717991837901203,0.05802299490642086,23.742636701048607,1.237426367010486
111,-0.3082036835992743,-0.30605674348343875,-0.7014843363357305,1.0070148433633572
118,-0.277318356039071,-0.27402429285807417,-1.2021062609594768,1.012021062609595
125,0.06423953153861076,0.0812584875385017,20.94421950916459,0.790557804908354
132,0.3218160017135698,0.32090059261243736,0.2852625149988379,1.0028526251499885
140,-0.01556966883156622,-0.014369251621596631,-8.354069102425568,1.0835406910242558
149,-0.3301479105581567,-0.3328742223732198,-0.8190216099119741,0.9918097839008801
157,0.07965034617232451,0.08491006591596541,6.194459616656503,0.9380554038334351
167,0.375903555918625,0.37841447601269945,0.6635370085551846,0.9933646299144482
177,-0.22241343357022328,-0.23327143875600784,-4.654665501995543,0.9534533449800446
187,-0.05730591884835135,-0.044930402902912475,-27.543745762040945,1.2754374576204095
198,0.2941708184918031,0.2836660354155206,3.7032220163033784,1.037032220163034
210,-0.24379022362978428,-0.23522556794610724,-3.6410394322607362,1.0364103943226073
223,0.08118628306321214,0.09619694326221725,15.604092697715446,0.8439590730228456
236,0.03166709762529768,0.018520390262322023,70.98504500588946,1.7098504500588945
250,-0.13145934369316245,-0.11458841279232006,-14.723068842413634,1.1472306884241363
265,0.1280450353963349,0.13009582498527963,1.576368487748758,0.9842363151225124
281,-0.1429282642491563,-0.13717206319483505,-4.196336280329417,1.0419633628032943
297,0.06890828360879978,0.0699939300179137,1.551057940075757,0.9844894205992425
315,0.00040223289726465736,0.02106944535922408,98.09091843469642,0.01909081565303579
334,-0.11637723817997726,-0.11617951818643947,-0.17018489715244028,1.0017018489715244
354,0.14117781635738122,0.14305786355727393,1.3141865488156288,0.9868581345118436
375,-0.06539198997323613,-0.08213155567362329,-20.381405859286684,0.7961859414071332
397,-0.07824158364643731,-0.08485544267165555,-7.794266127171458,0.9220573387282854
420,0.07675017424615366,0.0755691741564115,1.5628066641270293,1.0156280666412703
445,0.06609515654210396,0.07872389709391958,16.0418132460455,0.839581867539545
472,-0.02265795282066125,-0.02253321689092705,-0.553564678927068,1.0055356467892707
500,-0.018063985506240443,-0.017838513952680858,-1.263959285833336,1.0126395928583334
530,0.003193368033239884,0.0006342121267043286,403.51734045738937,5.035173404573895
561,0.011384587407497324,0.006541108993238042,74.0467468019,1.7404674680189998
595,0.021140490138951862,0.01406921503550083,50.26062282514052,1.5026062282514052
630,-0.0009795677514441272,0.019730924432255416,104.96463181341247,-0.049646318134124755
667,-0.046307497779167046,-0.052013247510731914,-10.969800973084016,0.8903019902691598
707,-0.04832950527054662,-0.03319039407077714,-45.612929956438464,1.4561292995643844
749,0.056649139302220784,0.06541479159288065,13.400107341492875,0.8659989265850713
794,-0.013405574595783128,-0.019563834128456938,-31.477774204373365,0.6852222579562663
841,0.01525099265570002,0.026254543018012572,41.911033662872356,0.5808896633712765
891,-0.02435301727465576,-0.009107810907515241,-167.3860658938478,2.6738606589384784
944,-0.016305317424852556,-0.012199557872175805,-33.654986481444375,1.3365498648144438
1000,-0.017726875395842914,-0.03342817783724426,-46.970261190568465,0.5302973880943154
1059,0.047602892059827,0.020546262752438944,131.68637836180838,2.316863783618084
1122,0.08602195230428811,0.05573759851252351,54.333797292971106,1.543337972929711
1189,-0.023927306302291257,-0.07504061637717792,-68.11419274326715,0.3188580725673285
1260,-0.35183456919930656,-0.39192184408467545,-10.228384942153918,0.8977161505784608
1335,0.05619310433631061,0.09273809299937413,39.406663951252646,0.6059333604874736
1414,0.21288855971309245,0.13832765555740448,53.901661135828334,1.5390166113582833
1498,0.10725069773432473,0.10062288070195372,6.586789193605675,1.0658678919360567
1587,-0.05915076735607731,-0.07568930683686134,-21.850562743863865,0.7814943725613613
1682,0.022476169786721314,0.01866636209945515,20.410017050817665,1.2041001705081764
1782,0.010490996923284935,-0.00620026510831852,-269.2023928010723,-1.6920239280107234
1888,-0.0657113421588673,-0.055456393140652954,-18.49191488563802,1.1849191488563802
